scenario,midpoint,mean_significant,q025,q975,n_young,n_old,n_molecules
outlier_cluster_55,49.0,0.16,0.0,2.5249999999999915,20,32,1000
outlier_cluster_55,50.0,0.38,0.0,4.0,21,34,1000
outlier_cluster_55,51.0,1.64,0.0,10.524999999999991,23,37,1000
outlier_cluster_55,52.0,3.1,0.0,15.0,24,39,1000
outlier_cluster_55,53.0,13.22,0.0,43.099999999999966,28,38,1000
outlier_cluster_55,54.0,22.27,0.0,58.19999999999993,28,40,1000
outlier_cluster_55,55.0,18.48,0.0,45.52499999999999,30,37,1000
outlier_cluster_55,56.0,9.33,0.0,27.574999999999974,28,37,1000
outlier_cluster_55,57.0,7.24,0.0,24.049999999999983,30,35,1000
outlier_cluster_55,58.0,8.2,0.0,21.52499999999999,31,35,1000
outlier_cluster_55,59.0,3.43,0.0,15.574999999999974,32,33,1000
outlier_cluster_55,60.0,2.72,0.0,12.0,34,32,1000
outlier_cluster_55,61.0,0.21,0.0,2.0,37,24,1000
outlier_cluster_55,62.0,0.09,0.0,1.0,39,21,1000
outlier_cluster_55,63.0,0.07,0.0,1.0,38,18,1000
outlier_cluster_55,64.0,0.06,0.0,1.0,40,16,1000
