layer,factor,level,arm,n_variables,crest_age,peak_n,peak_frac,min_n,min_frac,total_significant,n_windows_with_any,peak_to_floor,n_young_min,n_young_max,n_old_min,n_old_max,median_width
plasma_cytokine,span,0.4,loess_grid,66,51.0,61,0.9242424242424242,9,0.13636363636363635,970,25,6.777777777777778,20,20,20,20,19.5
plasma_cytokine,span,0.5,loess_grid,66,50.0,62,0.9393939393939394,12,0.18181818181818182,1121,25,5.166666666666667,20,20,20,20,19.5
plasma_cytokine,span,0.6,loess_grid,66,51.0,63,0.9545454545454546,14,0.21212121212121213,1188,25,4.5,20,20,20,20,19.5
plasma_cytokine,confounder_adjusted,Gender+Ethnicity+IRIS,loess_grid,66,49.0,62,0.9393939393939394,9,0.13636363636363635,1131,25,6.888888888888889,20,20,20,20,19.5
plasma_cytokine,confounder_adjusted,Gender+Ethnicity+IRIS,raw,66,43.0,20,0.30303030303030304,0,0.0,72,6,inf,5,39,13,39,19.15
clinical_test,test,wilcoxon,loess_grid,51,63.0,43,0.8431372549019608,30,0.5882352941176471,884,25,1.4333333333333333,20,20,20,20,19.5
clinical_test,test,wilcoxon,raw,51,,0,0.0,0,0.0,0,0,inf,5,41,16,41,19.25
clinical_test,test,linear,loess_grid,51,45.0,44,0.8627450980392157,28,0.5490196078431373,916,25,1.5714285714285714,20,20,20,20,19.5
clinical_test,test,linear,raw,51,40.0,1,0.0196078431372549,0,0.0,3,3,inf,5,41,16,41,19.25
clinical_test,scheme,fixed_width,loess_grid,51,63.0,43,0.8431372549019608,30,0.5882352941176471,884,25,1.4333333333333333,20,20,20,20,19.5
clinical_test,scheme,fixed_width,raw,51,,0,0.0,0,0.0,0,0,inf,5,41,16,41,19.25
clinical_test,scheme,quantile,loess_grid,51,30.9,43,0.8431372549019608,30,0.5882352941176471,915,25,1.4333333333333333,10,20,10,20,19.5
clinical_test,scheme,quantile,raw,51,58.5,1,0.0196078431372549,0,0.0,1,1,inf,7,41,10,42,19.15
clinical_test,scheme,equal_n,loess_grid,51,63.0,43,0.8431372549019608,30,0.5882352941176471,884,25,1.4333333333333333,20,20,20,20,19.5
clinical_test,scheme,equal_n,raw,51,,0,0.0,0,0.0,0,0,inf,0,24,0,24,13.870000000000005
clinical_test,span,0.3,loess_grid,51,44.0,37,0.7254901960784313,17,0.3333333333333333,676,25,2.176470588235294,20,20,20,20,19.5
clinical_test,span,0.4,loess_grid,51,45.0,40,0.7843137254901961,20,0.39215686274509803,769,25,2.0,20,20,20,20,19.5
clinical_test,span,0.5,loess_grid,51,44.0,40,0.7843137254901961,25,0.49019607843137253,834,25,1.6,20,20,20,20,19.5
clinical_test,span,0.6,loess_grid,51,63.0,42,0.8235294117647058,30,0.5882352941176471,884,25,1.4,20,20,20,20,19.5
clinical_test,confounder_adjusted,Gender+Ethnicity+IRIS,loess_grid,51,44.0,41,0.803921568627451,26,0.5098039215686274,852,25,1.5769230769230769,20,20,20,20,19.5
clinical_test,confounder_adjusted,Gender+Ethnicity+IRIS,raw,51,55.0,3,0.058823529411764705,0,0.0,10,4,inf,5,41,16,41,19.25
plasma_metabolomics_metabolite,test,wilcoxon,loess_grid,814,47.0,663,0.8144963144963145,514,0.6314496314496314,14684,25,1.2898832684824904,20,20,20,20,19.5
plasma_metabolomics_metabolite,test,wilcoxon,raw,814,55.0,3,0.0036855036855036856,0,0.0,7,4,inf,5,39,16,39,19.25
plasma_metabolomics_metabolite,test,linear,loess_grid,814,47.0,685,0.8415233415233415,557,0.6842751842751843,15433,25,1.229802513464991,20,20,20,20,19.5
plasma_metabolomics_metabolite,test,linear,raw,814,43.0,1,0.0012285012285012285,0,0.0,2,2,inf,5,39,16,39,19.25
plasma_metabolomics_metabolite,scheme,fixed_width,loess_grid,814,47.0,663,0.8144963144963145,514,0.6314496314496314,14684,25,1.2898832684824904,20,20,20,20,19.5
plasma_metabolomics_metabolite,scheme,fixed_width,raw,814,55.0,3,0.0036855036855036856,0,0.0,7,4,inf,5,39,16,39,19.25
plasma_metabolomics_metabolite,scheme,quantile,loess_grid,814,30.9,788,0.9680589680589681,519,0.6375921375921376,15963,25,1.5183044315992293,10,20,10,20,19.5
plasma_metabolomics_metabolite,scheme,quantile,raw,814,54.50666666666667,6,0.007371007371007371,0,0.0,9,3,inf,8,37,10,38,19.040000000000006
plasma_metabolomics_metabolite,scheme,equal_n,loess_grid,814,47.0,663,0.8144963144963145,514,0.6314496314496314,14684,25,1.2898832684824904,20,20,20,20,19.5
plasma_metabolomics_metabolite,scheme,equal_n,raw,814,54.0,1,0.0012285012285012285,0,0.0,2,2,inf,0,24,0,24,14.75
plasma_metabolomics_metabolite,span,0.3,loess_grid,814,41.0,555,0.6818181818181818,284,0.3488943488943489,10552,25,1.954225352112676,20,20,20,20,19.5
plasma_metabolomics_metabolite,span,0.4,loess_grid,814,46.0,610,0.7493857493857494,403,0.4950859950859951,12740,25,1.5136476426799008,20,20,20,20,19.5
plasma_metabolomics_metabolite,span,0.5,loess_grid,814,47.0,658,0.8083538083538083,482,0.5921375921375921,14114,25,1.3651452282157677,20,20,20,20,19.5
plasma_metabolomics_metabolite,span,0.6,loess_grid,814,47.0,674,0.828009828009828,542,0.6658476658476659,15120,25,1.2435424354243543,20,20,20,20,19.5
plasma_metabolomics_metabolite,confounder_adjusted,Gender+Ethnicity+IRIS,loess_grid,814,47.0,646,0.7936117936117936,525,0.644963144963145,14646,25,1.2304761904761905,20,20,20,20,19.5
plasma_metabolomics_metabolite,confounder_adjusted,Gender+Ethnicity+IRIS,raw,814,55.0,1,0.0012285012285012285,0,0.0,1,1,inf,5,39,16,39,19.25
plasma_lipidomics,test,wilcoxon,loess_grid,846,45.0,767,0.9066193853427896,468,0.5531914893617021,15818,25,1.6388888888888888,20,20,20,20,19.5
plasma_lipidomics,test,wilcoxon,raw,846,,0,0.0,0,0.0,0,0,inf,5,39,16,39,19.25
plasma_lipidomics,test,linear,loess_grid,846,45.0,773,0.9137115839243499,500,0.5910165484633569,16455,25,1.546,20,20,20,20,19.5
plasma_lipidomics,test,linear,raw,846,44.0,10,0.01182033096926714,0,0.0,14,2,inf,5,39,16,39,19.25
plasma_lipidomics,scheme,fixed_width,loess_grid,846,45.0,767,0.9066193853427896,468,0.5531914893617021,15818,25,1.6388888888888888,20,20,20,20,19.5
plasma_lipidomics,scheme,fixed_width,raw,846,,0,0.0,0,0.0,0,0,inf,5,39,16,39,19.25
plasma_lipidomics,scheme,quantile,loess_grid,846,30.9,826,0.9763593380614657,468,0.5531914893617021,16729,25,1.764957264957265,10,20,10,20,19.5
plasma_lipidomics,scheme,quantile,raw,846,,0,0.0,0,0.0,0,0,inf,8,37,10,38,19.040000000000006
plasma_lipidomics,scheme,equal_n,loess_grid,846,45.0,767,0.9066193853427896,468,0.5531914893617021,15818,25,1.6388888888888888,20,20,20,20,19.5
plasma_lipidomics,scheme,equal_n,raw,846,,0,0.0,0,0.0,0,0,inf,0,24,0,24,14.934999999999995
plasma_lipidomics,span,0.3,loess_grid,846,43.0,730,0.8628841607565012,262,0.30969267139479906,12888,25,2.786259541984733,20,20,20,20,19.5
plasma_lipidomics,span,0.4,loess_grid,846,45.0,750,0.8865248226950354,364,0.4302600472813239,14434,25,2.0604395604395602,20,20,20,20,19.5
plasma_lipidomics,span,0.5,loess_grid,846,45.0,773,0.9137115839243499,409,0.483451536643026,15120,25,1.8899755501222495,20,20,20,20,19.5
plasma_lipidomics,span,0.6,loess_grid,846,45.0,769,0.9089834515366431,466,0.5508274231678487,15948,25,1.650214592274678,20,20,20,20,19.5
plasma_lipidomics,confounder_adjusted,Gender+Ethnicity+IRIS,loess_grid,846,46.0,745,0.8806146572104019,327,0.38652482269503546,15026,25,2.2782874617737003,20,20,20,20,19.5
plasma_lipidomics,confounder_adjusted,Gender+Ethnicity+IRIS,raw,846,,0,0.0,0,0.0,0,0,inf,5,39,16,39,19.25
