layer,n_variables,n_subjects,median_max_abs_z,max_abs_z,frac_vars_with_z_gt_4,frac_vars_with_z_gt_6,median_excess_kurtosis,frac_vars_kurtosis_gt_5
plasma_transcriptome,8556,97,4.326261775501796,9.262436414307764,0.5920991117344554,0.1297335203366059,4.182052459286123,0.4475222066386162
plasma_proteomics,302,102,3.518783341488576,6.600456102962693,0.2847682119205298,0.019867549668874173,1.3819094085794363,0.1456953642384106
plasma_metabolomics_metabolite,814,96,3.9453118577808044,9.718772345680467,0.47911547911547914,0.1769041769041769,2.6403091299502273,0.35626535626535627
plasma_lipidomics,846,97,2.8357697702274702,6.0581522758893644,0.04609929078014184,0.001182033096926714,0.07581477836571593,0.00591016548463357
plasma_cytokine,66,91,6.622224077775133,9.420422987028159,0.8333333333333334,0.6060606060606061,26.99186715591184,0.7878787878787878
clinical_test,45,100,3.225916838875778,6.0524065291695335,0.2222222222222222,0.022222222222222223,0.8988686110821149,0.15555555555555556
