layer,variable,breakpoint,supF,q_value
plasma_cytokine,FASL,41.0,43.42936667914499,0.02666464661768048
plasma_cytokine,TGFA,41.0,29.803706734903553,0.02666464661768048
plasma_cytokine,MIP1A,41.0,19.3541604773756,0.03240495248676447
plasma_cytokine,SDF1A,41.0,22.149914950419003,0.03038231369418401
plasma_cytokine,IL27,41.0,35.29067379444047,0.02666464661768048
plasma_cytokine,IL1B,41.0,14.079429816550562,0.038784940534807966
plasma_cytokine,IL4,41.0,37.99015632388897,0.02666464661768048
plasma_cytokine,IP10,41.0,39.73730957788506,0.02666464661768048
plasma_cytokine,IL6,41.0,42.67436924962908,0.02666464661768048
plasma_cytokine,IL8,41.0,32.178193815154586,0.02666464661768048
plasma_cytokine,IL10,41.0,36.10792216672904,0.02666464661768048
plasma_cytokine,IL13,41.0,15.935409260738599,0.036872206651011284
plasma_cytokine,SCF,41.0,26.208634521793556,0.028331187031285506
plasma_cytokine,RANTES,42.0,43.17721580590536,0.02666464661768048
plasma_cytokine,IFNG,41.0,32.035117799304075,0.02666464661768048
plasma_cytokine,GMCSF,41.0,39.2872003715153,0.02666464661768048
plasma_cytokine,MIP1B,41.0,14.834499406776153,0.036872206651011284
plasma_cytokine,IL9,41.0,35.71810251705554,0.02666464661768048
plasma_cytokine,VEGFD,41.0,31.24624156185185,0.02666464661768048
plasma_cytokine,TNFB,41.0,34.71912794543359,0.02666464661768048
plasma_cytokine,NGF,41.0,23.132962932729633,0.03038231369418401
plasma_cytokine,TRAIL,41.0,15.121939202277275,0.036872206651011284
plasma_cytokine,GROA,41.0,25.652397971418164,0.028331187031285506
plasma_cytokine,IL1A,41.0,20.914188061143854,0.03038231369418401
plasma_cytokine,IL23,41.0,48.52840560248581,0.02666464661768048
plasma_cytokine,IL18,41.0,30.379091062008204,0.02666464661768048
plasma_cytokine,MCSF,41.0,40.63928933972073,0.02666464661768048
plasma_cytokine,MCP3,41.0,26.418425563931745,0.028331187031285506
plasma_cytokine,MIG,41.0,24.877223557948206,0.029088705401105974
plasma_cytokine,IL21,41.0,18.331868984534356,0.03339032757258649
plasma_cytokine,ICAM1,41.0,12.020055245890925,0.04323201896469519
plasma_cytokine,VCAM1,65.0,10.396593574428127,0.0499962124081509
plasma_cytokine,FGFB,41.0,39.14410569587295,0.02666464661768048
plasma_cytokine,PDGFBB,41.0,21.57894825567848,0.03038231369418401
plasma_cytokine,VEGF,41.0,15.898066337267501,0.036872206651011284
