layer,arm,bucket,q_threshold,n_variables,crest_age,peak_n,peak_frac,min_n,min_frac,total_significant,n_windows_with_any,peak_to_floor,n_young_min,n_young_max,n_old_min,n_old_max,median_width
plasma_proteomics,raw,20,0.01,302,55.0,1,0.0033112582781456954,0,0.0,1,1,inf,5,42,16,42,19.25
plasma_proteomics,raw,20,0.05,302,55.0,1,0.0033112582781456954,0,0.0,1,1,inf,5,42,16,42,19.25
plasma_proteomics,loess_grid,25,0.0001,302,40.0,171,0.5662251655629139,85,0.2814569536423841,3045,25,2.011764705882353,25,25,23,25,24.5
plasma_proteomics,loess_grid,25,0.001,302,45.0,187,0.6192052980132451,100,0.33112582781456956,3663,25,1.87,25,25,23,25,24.5
plasma_proteomics,loess_grid,25,0.01,302,44.0,210,0.695364238410596,138,0.45695364238410596,4391,25,1.5217391304347827,25,25,23,25,24.5
plasma_proteomics,loess_grid,25,0.05,302,44.0,235,0.7781456953642384,163,0.5397350993377483,5020,25,1.4417177914110428,25,25,23,25,24.5
plasma_proteomics,raw,25,0.0001,302,,0,0.0,0,0.0,0,0,inf,6,51,17,50,23.710000000000008
plasma_proteomics,raw,25,0.001,302,,0,0.0,0,0.0,0,0,inf,6,51,17,50,23.710000000000008
plasma_proteomics,raw,25,0.01,302,,0,0.0,0,0.0,0,0,inf,6,51,17,50,23.710000000000008
plasma_proteomics,raw,25,0.05,302,55.0,1,0.0033112582781456954,0,0.0,2,2,inf,6,51,17,50,23.710000000000008
plasma_proteomics,loess_grid,30,0.0001,302,40.0,165,0.5463576158940397,84,0.2781456953642384,3114,25,1.9642857142857142,28,30,23,30,29.5
plasma_proteomics,loess_grid,30,0.001,302,40.0,184,0.609271523178808,107,0.3543046357615894,3742,25,1.719626168224299,28,30,23,30,29.5
plasma_proteomics,loess_grid,30,0.01,302,40.0,211,0.6986754966887417,137,0.45364238410596025,4508,25,1.5401459854014599,28,30,23,30,29.5
plasma_proteomics,loess_grid,30,0.05,302,40.0,229,0.7582781456953642,173,0.5728476821192053,5190,25,1.323699421965318,28,30,23,30,29.5
plasma_proteomics,raw,30,0.0001,302,,0,0.0,0,0.0,0,0,inf,7,58,17,58,28.340000000000003
plasma_proteomics,raw,30,0.001,302,,0,0.0,0,0.0,0,0,inf,7,58,17,58,28.340000000000003
plasma_proteomics,raw,30,0.01,302,,0,0.0,0,0.0,0,0,inf,7,58,17,58,28.340000000000003
plasma_proteomics,raw,30,0.05,302,55.0,1,0.0033112582781456954,0,0.0,1,1,inf,7,58,17,58,28.340000000000003
plasma_cytokine,loess_grid,15,0.0001,66,51.0,41,0.6212121212121212,0,0.0,500,24,inf,15,15,15,15,14.5
plasma_cytokine,loess_grid,15,0.001,66,51.0,46,0.696969696969697,7,0.10606060606060606,692,25,6.571428571428571,15,15,15,15,14.5
plasma_cytokine,loess_grid,15,0.01,66,50.0,54,0.8181818181818182,9,0.13636363636363635,876,25,6.0,15,15,15,15,14.5
plasma_cytokine,loess_grid,15,0.05,66,50.0,58,0.8787878787878788,12,0.18181818181818182,1036,25,4.833333333333333,15,15,15,15,14.5
plasma_cytokine,raw,15,0.0001,66,,0,0.0,0,0.0,0,0,inf,3,32,11,32,14.130000000000003
plasma_cytokine,raw,15,0.001,66,,0,0.0,0,0.0,0,0,inf,3,32,11,32,14.130000000000003
plasma_cytokine,raw,15,0.01,66,,0,0.0,0,0.0,0,0,inf,3,32,11,32,14.130000000000003
plasma_cytokine,raw,15,0.05,66,47.0,1,0.015151515151515152,0,0.0,2,2,inf,3,32,11,32,14.130000000000003
plasma_cytokine,loess_grid,20,0.0001,66,51.0,47,0.7121212121212122,4,0.06060606060606061,521,25,11.75,20,20,20,20,19.5
plasma_cytokine,loess_grid,20,0.001,66,50.0,53,0.803030303030303,6,0.09090909090909091,670,25,8.833333333333334,20,20,20,20,19.5
plasma_cytokine,loess_grid,20,0.01,66,50.0,59,0.8939393939393939,7,0.10606060606060606,851,25,8.428571428571429,20,20,20,20,19.5
plasma_cytokine,loess_grid,20,0.05,66,50.0,62,0.9393939393939394,8,0.12121212121212122,1041,25,7.75,20,20,20,20,19.5
plasma_cytokine,raw,20,0.0001,66,,0,0.0,0,0.0,0,0,inf,5,39,13,39,19.15
plasma_cytokine,raw,20,0.001,66,,0,0.0,0,0.0,0,0,inf,5,39,13,39,19.15
plasma_cytokine,raw,20,0.01,66,,0,0.0,0,0.0,0,0,inf,5,39,13,39,19.15
plasma_cytokine,raw,20,0.05,66,,0,0.0,0,0.0,0,0,inf,5,39,13,39,19.15
plasma_cytokine,loess_grid,25,0.0001,66,50.0,45,0.6818181818181818,3,0.045454545454545456,494,25,15.0,25,25,23,25,24.5
plasma_cytokine,loess_grid,25,0.001,66,50.0,52,0.7878787878787878,4,0.06060606060606061,650,25,13.0,25,25,23,25,24.5
plasma_cytokine,loess_grid,25,0.01,66,50.0,57,0.8636363636363636,6,0.09090909090909091,826,25,9.5,25,25,23,25,24.5
plasma_cytokine,loess_grid,25,0.05,66,50.0,61,0.9242424242424242,9,0.13636363636363635,995,25,6.777777777777778,25,25,23,25,24.5
plasma_cytokine,raw,25,0.0001,66,,0,0.0,0,0.0,0,0,inf,6,45,14,45,23.650000000000006
plasma_cytokine,raw,25,0.001,66,,0,0.0,0,0.0,0,0,inf,6,45,14,45,23.650000000000006
plasma_cytokine,raw,25,0.01,66,,0,0.0,0,0.0,0,0,inf,6,45,14,45,23.650000000000006
plasma_cytokine,raw,25,0.05,66,47.0,1,0.015151515151515152,0,0.0,2,2,inf,6,45,14,45,23.650000000000006
plasma_cytokine,loess_grid,30,0.0001,66,50.0,48,0.7272727272727273,2,0.030303030303030304,500,25,24.0,28,30,23,30,29.5
plasma_cytokine,loess_grid,30,0.001,66,50.0,54,0.8181818181818182,3,0.045454545454545456,647,25,18.0,28,30,23,30,29.5
plasma_cytokine,loess_grid,30,0.01,66,50.0,61,0.9242424242424242,6,0.09090909090909091,867,25,10.166666666666666,28,30,23,30,29.5
plasma_cytokine,loess_grid,30,0.05,66,50.0,63,0.9545454545454546,12,0.18181818181818182,1044,25,5.25,28,30,23,30,29.5
plasma_cytokine,raw,30,0.0001,66,,0,0.0,0,0.0,0,0,inf,7,50,14,50,28.340000000000003
plasma_cytokine,raw,30,0.001,66,,0,0.0,0,0.0,0,0,inf,7,50,14,50,28.340000000000003
plasma_cytokine,raw,30,0.01,66,,0,0.0,0,0.0,0,0,inf,7,50,14,50,28.340000000000003
plasma_cytokine,raw,30,0.05,66,47.0,1,0.015151515151515152,0,0.0,1,1,inf,7,50,14,50,28.340000000000003
clinical_test,loess_grid,15,0.0001,51,45.0,33,0.6470588235294118,9,0.17647058823529413,503,25,3.6666666666666665,15,15,15,15,14.5
clinical_test,loess_grid,15,0.001,51,45.0,35,0.6862745098039216,16,0.3137254901960784,654,25,2.1875,15,15,15,15,14.5
clinical_test,loess_grid,15,0.01,51,44.0,38,0.7450980392156863,24,0.47058823529411764,786,25,1.5833333333333333,15,15,15,15,14.5
clinical_test,loess_grid,15,0.05,51,44.0,41,0.803921568627451,26,0.5098039215686274,878,25,1.5769230769230769,15,15,15,15,14.5
clinical_test,raw,15,0.0001,51,,0,0.0,0,0.0,0,0,inf,3,33,14,33,14.14
clinical_test,raw,15,0.001,51,,0,0.0,0,0.0,0,0,inf,3,33,14,33,14.14
clinical_test,raw,15,0.01,51,,0,0.0,0,0.0,0,0,inf,3,33,14,33,14.14
clinical_test,raw,15,0.05,51,,0,0.0,0,0.0,0,0,inf,3,33,14,33,14.14
clinical_test,loess_grid,20,0.0001,51,45.0,32,0.6274509803921569,15,0.29411764705882354,570,25,2.1333333333333333,20,20,20,20,19.5
clinical_test,loess_grid,20,0.001,51,45.0,38,0.7450980392156863,18,0.35294117647058826,685,25,2.111111111111111,20,20,20,20,19.5
clinical_test,loess_grid,20,0.01,51,44.0,39,0.7647058823529411,22,0.43137254901960786,795,25,1.7727272727272727,20,20,20,20,19.5
clinical_test,loess_grid,20,0.05,51,63.0,43,0.8431372549019608,30,0.5882352941176471,884,25,1.4333333333333333,20,20,20,20,19.5
clinical_test,raw,20,0.0001,51,,0,0.0,0,0.0,0,0,inf,5,41,16,41,19.25
clinical_test,raw,20,0.001,51,,0,0.0,0,0.0,0,0,inf,5,41,16,41,19.25
clinical_test,raw,20,0.01,51,,0,0.0,0,0.0,0,0,inf,5,41,16,41,19.25
clinical_test,raw,20,0.05,51,,0,0.0,0,0.0,0,0,inf,5,41,16,41,19.25
clinical_test,loess_grid,25,0.0001,51,47.0,31,0.6078431372549019,17,0.3333333333333333,595,25,1.8235294117647058,25,25,23,25,24.5
clinical_test,loess_grid,25,0.001,51,46.0,32,0.6274509803921569,20,0.39215686274509803,680,25,1.6,25,25,23,25,24.5
clinical_test,loess_grid,25,0.01,51,45.0,39,0.7647058823529411,23,0.45098039215686275,780,25,1.6956521739130435,25,25,23,25,24.5
clinical_test,loess_grid,25,0.05,51,45.0,40,0.7843137254901961,27,0.5294117647058824,849,25,1.4814814814814814,25,25,23,25,24.5
clinical_test,raw,25,0.0001,51,,0,0.0,0,0.0,0,0,inf,6,50,17,49,23.710000000000008
clinical_test,raw,25,0.001,51,,0,0.0,0,0.0,0,0,inf,6,50,17,49,23.710000000000008
clinical_test,raw,25,0.01,51,57.0,2,0.0392156862745098,0,0.0,2,1,inf,6,50,17,49,23.710000000000008
clinical_test,raw,25,0.05,51,57.0,2,0.0392156862745098,0,0.0,6,3,inf,6,50,17,49,23.710000000000008
clinical_test,loess_grid,30,0.0001,51,49.0,31,0.6078431372549019,17,0.3333333333333333,584,25,1.8235294117647058,28,30,23,30,29.5
clinical_test,loess_grid,30,0.001,51,50.0,34,0.6666666666666666,21,0.4117647058823529,674,25,1.619047619047619,28,30,23,30,29.5
clinical_test,loess_grid,30,0.01,51,51.0,38,0.7450980392156863,24,0.47058823529411764,760,25,1.5833333333333333,28,30,23,30,29.5
clinical_test,loess_grid,30,0.05,51,51.0,41,0.803921568627451,26,0.5098039215686274,837,25,1.5769230769230769,28,30,23,30,29.5
clinical_test,raw,30,0.0001,51,,0,0.0,0,0.0,0,0,inf,7,57,17,57,28.340000000000003
clinical_test,raw,30,0.001,51,,0,0.0,0,0.0,0,0,inf,7,57,17,57,28.340000000000003
clinical_test,raw,30,0.01,51,57.0,2,0.0392156862745098,0,0.0,5,3,inf,7,57,17,57,28.340000000000003
clinical_test,raw,30,0.05,51,59.0,3,0.058823529411764705,0,0.0,14,7,inf,7,57,17,57,28.340000000000003
plasma_metabolomics_metabolite,loess_grid,15,0.0001,814,45.0,517,0.6351351351351351,231,0.28378378378378377,8797,25,2.238095238095238,15,15,15,15,14.5
plasma_metabolomics_metabolite,loess_grid,15,0.001,814,45.0,577,0.7088452088452089,326,0.4004914004914005,11050,25,1.7699386503067485,15,15,15,15,14.5
plasma_metabolomics_metabolite,loess_grid,15,0.01,814,46.0,647,0.7948402948402948,413,0.5073710073710074,13193,25,1.5665859564164648,15,15,15,15,14.5
plasma_metabolomics_metabolite,loess_grid,15,0.05,814,46.0,695,0.8538083538083538,505,0.6203931203931204,14882,25,1.3762376237623761,15,15,15,15,14.5
plasma_metabolomics_metabolite,raw,15,0.0001,814,,0,0.0,0,0.0,0,0,inf,3,31,13,32,14.14
plasma_metabolomics_metabolite,raw,15,0.001,814,,0,0.0,0,0.0,0,0,inf,3,31,13,32,14.14
plasma_metabolomics_metabolite,raw,15,0.01,814,55.0,1,0.0012285012285012285,0,0.0,1,1,inf,3,31,13,32,14.14
plasma_metabolomics_metabolite,raw,15,0.05,814,53.0,1,0.0012285012285012285,0,0.0,3,3,inf,3,31,13,32,14.14
plasma_metabolomics_metabolite,loess_grid,20,0.0001,814,46.0,492,0.6044226044226044,277,0.3402948402948403,9152,25,1.7761732851985559,20,20,20,20,19.5
plasma_metabolomics_metabolite,loess_grid,20,0.001,814,46.0,549,0.6744471744471745,347,0.4262899262899263,10938,25,1.5821325648414986,20,20,20,20,19.5
plasma_metabolomics_metabolite,loess_grid,20,0.01,814,46.0,604,0.742014742014742,429,0.527027027027027,12991,25,1.407925407925408,20,20,20,20,19.5
plasma_metabolomics_metabolite,loess_grid,20,0.05,814,47.0,663,0.8144963144963145,514,0.6314496314496314,14684,25,1.2898832684824904,20,20,20,20,19.5
plasma_metabolomics_metabolite,raw,20,0.0001,814,,0,0.0,0,0.0,0,0,inf,5,39,16,39,19.25
plasma_metabolomics_metabolite,raw,20,0.001,814,55.0,1,0.0012285012285012285,0,0.0,1,1,inf,5,39,16,39,19.25
plasma_metabolomics_metabolite,raw,20,0.01,814,54.0,2,0.002457002457002457,0,0.0,4,2,inf,5,39,16,39,19.25
plasma_metabolomics_metabolite,raw,20,0.05,814,55.0,3,0.0036855036855036856,0,0.0,7,4,inf,5,39,16,39,19.25
plasma_metabolomics_metabolite,loess_grid,25,0.0001,814,46.0,446,0.547911547911548,298,0.36609336609336607,9196,25,1.4966442953020134,25,25,23,25,24.5
plasma_metabolomics_metabolite,loess_grid,25,0.001,814,47.0,509,0.6253071253071253,372,0.457002457002457,10924,25,1.368279569892473,25,25,23,25,24.5
plasma_metabolomics_metabolite,loess_grid,25,0.01,814,46.0,586,0.7199017199017199,465,0.5712530712530712,12898,25,1.260215053763441,25,25,23,25,24.5
plasma_metabolomics_metabolite,loess_grid,25,0.05,814,46.0,642,0.7886977886977887,547,0.671990171990172,14651,25,1.1736745886654478,25,25,23,25,24.5
plasma_metabolomics_metabolite,raw,25,0.0001,814,,0,0.0,0,0.0,0,0,inf,6,47,17,47,23.710000000000008
plasma_metabolomics_metabolite,raw,25,0.001,814,,0,0.0,0,0.0,0,0,inf,6,47,17,47,23.710000000000008
plasma_metabolomics_metabolite,raw,25,0.01,814,55.0,3,0.0036855036855036856,0,0.0,3,1,inf,6,47,17,47,23.710000000000008
plasma_metabolomics_metabolite,raw,25,0.05,814,55.0,4,0.004914004914004914,0,0.0,13,5,inf,6,47,17,47,23.710000000000008
plasma_metabolomics_metabolite,loess_grid,30,0.0001,814,40.0,421,0.5171990171990172,325,0.39926289926289926,9304,25,1.2953846153846154,28,30,23,30,29.5
plasma_metabolomics_metabolite,loess_grid,30,0.001,814,40.0,494,0.6068796068796068,394,0.48402948402948404,10896,25,1.2538071065989849,28,30,23,30,29.5
plasma_metabolomics_metabolite,loess_grid,30,0.01,814,40.0,567,0.6965601965601965,479,0.5884520884520884,12800,25,1.1837160751565763,28,30,23,30,29.5
plasma_metabolomics_metabolite,loess_grid,30,0.05,814,48.0,622,0.7641277641277642,542,0.6658476658476659,14478,25,1.1476014760147601,28,30,23,30,29.5
plasma_metabolomics_metabolite,raw,30,0.0001,814,,0,0.0,0,0.0,0,0,inf,7,54,17,54,28.140000000000008
plasma_metabolomics_metabolite,raw,30,0.001,814,,0,0.0,0,0.0,0,0,inf,7,54,17,54,28.140000000000008
plasma_metabolomics_metabolite,raw,30,0.01,814,55.0,4,0.004914004914004914,0,0.0,7,4,inf,7,54,17,54,28.140000000000008
plasma_metabolomics_metabolite,raw,30,0.05,814,54.0,8,0.009828009828009828,0,0.0,28,6,inf,7,54,17,54,28.140000000000008
plasma_lipidomics,loess_grid,15,0.0001,846,45.0,713,0.8427895981087471,180,0.2127659574468085,9665,25,3.9611111111111112,15,15,15,15,14.5
plasma_lipidomics,loess_grid,15,0.001,846,45.0,747,0.8829787234042553,277,0.32742316784869974,11964,25,2.696750902527076,15,15,15,15,14.5
plasma_lipidomics,loess_grid,15,0.01,846,46.0,777,0.9184397163120568,363,0.42907801418439717,14196,25,2.1404958677685952,15,15,15,15,14.5
plasma_lipidomics,loess_grid,15,0.05,846,46.0,795,0.9397163120567376,460,0.5437352245862884,15852,25,1.7282608695652173,15,15,15,15,14.5
plasma_lipidomics,raw,15,0.0001,846,,0,0.0,0,0.0,0,0,inf,3,31,14,32,14.14
plasma_lipidomics,raw,15,0.001,846,,0,0.0,0,0.0,0,0,inf,3,31,14,32,14.14
plasma_lipidomics,raw,15,0.01,846,,0,0.0,0,0.0,0,0,inf,3,31,14,32,14.14
plasma_lipidomics,raw,15,0.05,846,,0,0.0,0,0.0,0,0,inf,3,31,14,32,14.14
plasma_lipidomics,loess_grid,20,0.0001,846,46.0,678,0.8014184397163121,166,0.19621749408983452,10564,25,4.0843373493975905,20,20,20,20,19.5
plasma_lipidomics,loess_grid,20,0.001,846,46.0,708,0.8368794326241135,262,0.30969267139479906,12274,25,2.7022900763358777,20,20,20,20,19.5
plasma_lipidomics,loess_grid,20,0.01,846,45.0,745,0.8806146572104019,356,0.42080378250591016,14210,25,2.092696629213483,20,20,20,20,19.5
plasma_lipidomics,loess_grid,20,0.05,846,45.0,767,0.9066193853427896,468,0.5531914893617021,15818,25,1.6388888888888888,20,20,20,20,19.5
plasma_lipidomics,raw,20,0.0001,846,,0,0.0,0,0.0,0,0,inf,5,39,16,39,19.25
plasma_lipidomics,raw,20,0.001,846,,0,0.0,0,0.0,0,0,inf,5,39,16,39,19.25
plasma_lipidomics,raw,20,0.01,846,,0,0.0,0,0.0,0,0,inf,5,39,16,39,19.25
plasma_lipidomics,raw,20,0.05,846,,0,0.0,0,0.0,0,0,inf,5,39,16,39,19.25
plasma_lipidomics,loess_grid,25,0.0001,846,47.0,635,0.7505910165484634,162,0.19148936170212766,10738,25,3.919753086419753,25,25,23,25,24.5
plasma_lipidomics,loess_grid,25,0.001,846,47.0,670,0.7919621749408984,228,0.2695035460992908,12185,25,2.93859649122807,25,25,23,25,24.5
plasma_lipidomics,loess_grid,25,0.01,846,46.0,707,0.8356973995271868,308,0.3640661938534279,13968,25,2.2954545454545454,25,25,23,25,24.5
plasma_lipidomics,loess_grid,25,0.05,846,46.0,744,0.8794326241134752,402,0.475177304964539,15564,25,1.8507462686567164,25,25,23,25,24.5
plasma_lipidomics,raw,25,0.0001,846,,0,0.0,0,0.0,0,0,inf,6,46,17,46,23.710000000000008
plasma_lipidomics,raw,25,0.001,846,,0,0.0,0,0.0,0,0,inf,6,46,17,46,23.710000000000008
