layer,breakpoint,observed_count,observed_frac,null_frac
plasma_metabolomics_metabolite,69.0,0,,0.0
plasma_metabolomics_metabolite,70.0,0,,0.0
plasma_lipidomics,35.0,0,,0.0
plasma_lipidomics,36.0,0,,0.0
plasma_lipidomics,37.0,0,,0.0
plasma_lipidomics,38.0,0,,0.0
plasma_lipidomics,39.0,0,,0.0
plasma_lipidomics,40.0,0,,0.0
plasma_lipidomics,41.0,0,,0.15400118203309693
plasma_lipidomics,42.0,0,,0.02130614657210402
plasma_lipidomics,43.0,0,,0.005531914893617021
plasma_lipidomics,44.0,0,,0.0349113475177305
plasma_lipidomics,45.0,0,,0.03178486997635934
plasma_lipidomics,46.0,0,,0.030608747044917256
plasma_lipidomics,47.0,0,,0.013953900709219858
plasma_lipidomics,48.0,0,,0.014657210401891253
plasma_lipidomics,49.0,0,,0.024397163120567375
plasma_lipidomics,50.0,0,,0.023386524822695036
plasma_lipidomics,51.0,0,,0.0341725768321513
plasma_lipidomics,52.0,0,,0.022299054373522458
plasma_lipidomics,53.0,0,,0.02465130023640662
plasma_lipidomics,54.0,0,,0.039527186761229315
plasma_lipidomics,55.0,0,,0.018250591016548464
plasma_lipidomics,56.0,0,,0.03790189125295508
plasma_lipidomics,57.0,0,,0.02150709219858156
plasma_lipidomics,58.0,0,,0.0241903073286052
plasma_lipidomics,59.0,0,,0.02258274231678487
plasma_lipidomics,60.0,0,,0.028469267139479906
plasma_lipidomics,61.0,0,,0.03523640661938534
plasma_lipidomics,62.0,0,,0.019539007092198583
plasma_lipidomics,63.0,0,,0.045153664302600476
plasma_lipidomics,64.0,0,,0.0258806146572104
plasma_lipidomics,65.0,0,,0.04533096926713948
plasma_lipidomics,66.0,0,,0.04371749408983452
plasma_lipidomics,67.0,0,,0.15705082742316784
plasma_lipidomics,68.0,0,,0.0
plasma_lipidomics,69.0,0,,0.0
plasma_lipidomics,70.0,0,,0.0
plasma_cytokine,35.0,0,0.0,0.0
plasma_cytokine,36.0,0,0.0,0.0
plasma_cytokine,37.0,0,0.0,0.0
plasma_cytokine,38.0,0,0.0,0.0
plasma_cytokine,39.0,0,0.0,0.0
plasma_cytokine,40.0,0,0.0,0.0
plasma_cytokine,41.0,33,0.9428571428571428,0.13143939393939394
plasma_cytokine,42.0,1,0.02857142857142857,0.016363636363636365
